axis,start_idx,end_idx,duration_sec,peak_residual,level
axis1,3854,3865,22.692,14.160469964826278,ERROR
axis2,601,612,22.692,42.94965786958645,ERROR
axis2,2148,2160,24.583,48.98346266420399,ERROR
axis4,3757,3767,20.801000000000002,11.436480259679906,ERROR
axis4,3872,3883,22.692,12.6386595969678,ERROR
axis4,4509,4521,24.583,9.021287788516348,ERROR
axis7,206,217,22.692,14.787242229433213,ERROR
axis8,3299,3311,24.583,2.834280742113292,ERROR
axis8,3424,3434,20.801000000000002,2.746688354470641,ERROR
axis8,4945,4955,20.801000000000002,2.4583799728070517,ERROR
